"","gene_name","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene_ID","GeneName","PANTHER_Family_Subfamily","PANTHER_Protein_Class","NA"
"32","Prkcg","ENSMUSG00000078816.11",4706.31939929379,0.379960839213314,0.0868744964295263,4.37367529976468,1.22172054103872e-05,0.00848984710518177,"MOUSE|MGI=MGI=97597|UniProtKB=P63318","Protein kinase C gamma type;Prkcg;PTN000684188;orthologs","PROTEIN KINASE C GAMMA TYPE (PTHR24356:SF162)","non-receptor serine/threonine protein kinase(PC00167)","Mus musculus"
"33","Rab14","ENSMUSG00000026878.18",2173.52830991016,-0.379791044609378,0.0945704096440204,-4.01596065871956,5.92041321848378e-05,0.0244625073741027,"MOUSE|MGI=MGI=1915615|UniProtKB=Q91V41","Ras-related protein Rab-14;Rab14;PTN000633952;orthologs","RAS-RELATED PROTEIN RAB-14 (PTHR24073:SF185)","small GTPase(PC00208)","Mus musculus"
"34","Rin1","ENSMUSG00000024883.9",346.061573417115,1.99676996704808,0.454672879866679,4.39166278761465,1.12487067727203e-05,0.00818905853054037,"MOUSE|MGI=MGI=2385695|UniProtKB=Q921Q7","Ras and Rab interactor 1;Rin1;PTN000559551;orthologs","RAS AND RAB INTERACTOR 1 (PTHR23101:SF62)","guanyl-nucleotide exchange factor(PC00113)","Mus musculus"
"35","Ski","ENSMUSG00000029050.16",2383.06182297656,-0.234010938729592,0.0572415052019788,-4.08813391443632,4.34857115474389e-05,0.0201457441859772,"MOUSE|MGI=MGI=98310|UniProtKB=Q60698","Ski oncogene;Ski;PTN000000400;orthologs","SKI ONCOGENE (PTHR10005:SF15)","","Mus musculus"
"36","Sqle","ENSMUSG00000022351.15",1148.49766207746,0.481381056788684,0.0803375798157937,5.99197857207604,2.07303246152483e-09,7.92313006794791e-06,"MOUSE|MGI=MGI=109296|UniProtKB=P52019","Squalene monooxygenase;Sqle;PTN000089432;orthologs","SQUALENE MONOOXYGENASE (PTHR10835:SF0)","oxygenase(PC00177)","Mus musculus"
"37","Srrm2","ENSMUSG00000039218.18",7620.18252763227,0.35793228056955,0.0804157419389897,4.45102254781294,8.5462366907035e-06,0.00725860369597084,"MOUSE|MGI=MGI=1923206|UniProtKB=Q8BTI8","Serine_arginine repetitive matrix protein 2;Srrm2;PTN000789074;orthologs","SERINE_ARGININE REPETITIVE MATRIX PROTEIN 2 (PTHR34755:SF3)","","Mus musculus"
"38","St6galnac5","ENSMUSG00000039037.6",2298.47028994206,-0.279413591786534,0.0667954946318836,-4.18312033358551,2.87535096757582e-05,0.0149161755976504,"MOUSE|MGI=MGI=1349471|UniProtKB=Q9QYJ1","Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5;St6galnac5;PTN000346114;orthologs","ALPHA-N-ACETYLGALACTOSAMINIDE ALPHA-2,6-SIALYLTRANSFERASE 5 (PTHR45906:SF5)","","Mus musculus"
"39","Tenm2","ENSMUSG00000049336.17",2812.4584800271,0.462392207359579,0.117347836775805,3.94035561339736,8.13609091800022e-05,0.0310961394885969,"MOUSE|MGI=MGI=1345184|UniProtKB=Q9WTS5","Teneurin-2;Tenm2;PTN000131560;orthologs","TENEURIN-2 (PTHR11219:SF8)","","Mus musculus"
"40","Tppp","ENSMUSG00000021573.16",2457.79033657032,0.545199239379,0.138118297492227,3.9473353587325,7.90258265202394e-05,0.0309781239959338,"MOUSE|MGI=MGI=1920198|UniProtKB=Q7TQD2","Tubulin polymerization-promoting protein;Tppp;PTN000309436;orthologs","TUBULIN POLYMERIZATION-PROMOTING PROTEIN (PTHR12932:SF18)","non-motor microtubule binding protein(PC00166)","Mus musculus"
"41","Zfp523","ENSMUSG00000024220.15",811.935645460438,0.447565216499245,0.110693774948285,4.0432735870499,5.27100548675021e-05,0.0237009211415992,"MOUSE|MGI=MGI=2687278|UniProtKB=Q8BMU0","Zinc finger protein 76;Znf76;PTN002396852;orthologs","ZINC FINGER PROTEIN 76 (PTHR19818:SF151)","C2H2 zinc finger transcription factor(PC00248)","Mus musculus"
